building_id,meter,timestamp,primary_use,square_feet,year_built,air_temperature,cloud_coverage,dew_temperature,meter_reading
0,0,01-01-2016 00:00,Education,7432,2008,25,6,20,0
1,0,01-01-2016 00:00,Education,2720,2004,24.4,,21.1,0
2,0,01-01-2016 00:00,Education,5376,1991,22.8,2,21.1,0
3,0,01-01-2016 00:00,Education,23685,2002,21.1,2,20.6,0
4,0,01-01-2016 00:00,Education,116607,1975,20,2,20,0
5,0,01-01-2016 00:00,Education,8000,2000,19.4,,19.4,0
6,0,01-01-2016 00:00,Lodging/residential,27926,1981,21.1,6,21.1,0
7,0,01-01-2016 00:00,Education,121074,1989,21.1,,21.1,0
8,1,01-01-2016 00:00,Education,60809,2003,20.6,,20,0
9,0,01-01-2016 00:00,Office,27000,2010,21.1,,20.6,0
10,0,01-01-2016 00:00,Entertainment/public assembly,370773,1991,21.1,,20.6,0
11,1,01-01-2016 00:00,Education,49073,1968,20.6,,20,0
12,0,01-01-2016 00:00,Lodging/residential,37100,1999,18.9,6,18.9,0
13,0,01-01-2016 00:00,Education,99380,2000,20,,20,0
14,0,01-01-2016 00:00,Education,86250,2013,21.7,,21.1,0
15,0,01-01-2016 00:00,Office,83957,1974,23.9,,21.1,0
16,1,01-01-2016 00:00,Education,54644,1996,26.1,,20,0
17,0,01-01-2016 00:00,Office,15250,1980,26.7,,20.6,0
18,1,01-01-2016 00:00,Education,111891,1996,27.8,6,20,0
19,0,01-01-2016 00:00,Office,18717,2004,28.3,,19.4,0
20,1,01-01-2016 00:00,Education,110272,1977,28.3,,18.9,0
21,0,01-01-2016 00:00,Office,7043,1990,27.8,,18.3,0
22,0,01-01-2016 00:00,Education,3569,1996,26.7,,18.3,0
23,0,01-01-2016 00:00,Education,130885,1985,25.6,,18.3,0
24,0,01-01-2016 00:00,Education,105545,2001,24.4,6,18.9,0
25,0,01-01-2016 00:00,Office,103286,1969,23.9,4,18.3,0
26,0,01-01-2016 00:00,Office,26953,2005,22.2,,19.4,0
27,0,01-01-2016 00:00,Lodging/residential,59200,1999,21.1,,18.9,0
28,0,01-01-2016 00:00,Office,52957,2016,20.6,,17.8,0
29,0,01-01-2016 00:00,Education,113866,2006,19.4,4,17.2,0
30,0,01-01-2016 00:00,Education,93897,1999,18.9,6,17.2,0
31,0,01-01-2016 00:00,Education,61904,2001,18.9,,17.2,0
32,0,01-01-2016 00:00,Office,48392,2005,18.9,,16.7,0
33,0,01-01-2016 00:00,Lodging/residential,38686,2002,18.3,,16.7,0
34,1,01-01-2016 00:00,Lodging/residential,42731,2002,18.9,,16.7,0
35,0,01-01-2016 00:00,Lodging/residential,41617,2002,16.7,,13.9,0
36,1,01-01-2016 00:00,Lodging/residential,53130,2002,15.6,8,13.3,0
37,0,01-01-2016 00:00,Lodging/residential,53130,2002,15,,13.9,0
38,1,01-01-2016 00:00,Office,12769,2013,16.1,,13.3,0
39,0,01-01-2016 00:00,Office,64619,1969,17.2,,13.3,0
40,1,01-01-2016 00:00,Entertainment/public assembly,26944,2001,17.8,,13.3,0
41,0,01-01-2016 00:00,Office,93860,1968,19.4,,11.7,0
42,0,01-01-2016 00:00,Other,226506,1968,20.6,6,11.7,0
43,0,01-01-2016 00:00,Retail,59071,1980,22.2,,12.8,0
44,0,01-01-2016 00:00,Retail,283,1985,22.8,,13.9,0
45,0,01-01-2016 00:00,Retail,15304,2016,21.1,,13.9,53.2397
46,0,01-01-2016 00:00,Retail,9045,2016,20,,13.9,0
47,0,01-01-2016 00:00,Retail,31666,2008,18.9,,13.9,0
48,0,01-01-2016 00:00,Other,9569,1989,17.8,8,13.9,0
49,0,01-01-2016 00:00,Lodging/residential,24456,1968,16.7,,12.8,0
50,0,01-01-2016 00:00,Other,4698,1981,16.7,,12.8,0
51,0,01-01-2016 00:00,Parking,387638,2014,16.1,,12.8,0
52,0,01-01-2016 00:00,Education,106523,1970,16.7,,12.8,0
53,1,01-01-2016 00:00,Office,87742,1971,15.6,,12.8,0
54,0,01-01-2016 00:00,Education,7867,2011,15.6,8,13.3,0
55,0,01-01-2016 00:00,Office,16726,2011,15,,12.2,0
56,0,01-01-2016 00:00,Lodging/residential,60088,2013,15,,12.2,0
57,0,01-01-2016 00:00,Lodging/residential,65359,2013,15,,12.2,0
58,0,01-01-2016 00:00,Lodging/residential,83379,2013,14.4,,11.7,0
59,0,01-01-2016 00:00,Entertainment/public assembly,81337,2005,14.4,,12.2,0
60,0,01-01-2016 00:00,Education,81576,1997,14.4,8,12.2,0
61,1,01-01-2016 00:00,Lodging/residential,38686,2001,14.4,,12.2,0
62,0,01-01-2016 00:00,Lodging/residential,42731,2001,13.3,,11.7,0
63,0,01-01-2016 00:00,Lodging/residential,41617,2001,13.3,,11.7,0
64,0,01-01-2016 00:00,Lodging/residential,53130,2001,13.3,,12.2,0
65,0,01-01-2016 00:00,Lodging/residential,53130,2001,13.3,,12.2,0
66,0,01-01-2016 00:00,Lodging/residential,37241,1981,14.4,8,12.8,0
67,1,01-01-2016 00:00,Lodging/residential,24456,1968,15,,12.8,0
68,0,01-01-2016 00:00,Parking,487433,2007,14.4,,12.8,0
69,0,01-01-2016 00:00,Parking,387638,2000,14.4,,13.3,0
70,0,01-01-2016 00:00,Parking,387638,2007,13.9,,12.2,0
71,0,01-01-2016 00:00,Parking,387638,1998,12.8,,11.7,0
72,0,01-01-2016 00:00,Parking,387638,2002,12.2,8,11.1,43.0013
73,1,01-01-2016 00:00,Parking,387638,2008,11.7,,11.1,0
74,0,01-01-2016 00:00,Parking,387638,1997,11.1,,10,0
75,0,01-01-2016 00:00,Education,80942,2010,11.1,,10,0
76,0,01-01-2016 00:00,Education,128887,2009,9.4,,7.2,0
77,0,01-01-2016 00:00,Lodging/residential,24456,1968,10.6,,7.8,0
78,0,01-01-2016 00:00,Education,76257,2007,10,8,8.3,0
79,0,01-01-2016 00:00,Office,36240,2010,10,,7.8,0
80,0,01-01-2016 00:00,Office,156111,2001,10.6,,7.8,0
81,0,01-01-2016 00:00,Other,3025,1979,10.6,,6.7,0
82,0,01-01-2016 00:00,Office,10743,1974,10,,4.4,0
83,0,01-01-2016 00:00,Other,2070,1996,10,,4.4,0
84,0,01-01-2016 00:00,Office,4038,1986,9.4,6,4.4,0
85,0,01-01-2016 00:00,Lodging/residential,37241,1981,8.9,4,3.9,0
86,0,01-01-2016 00:00,Education,10932,1986,11.1,2,2.2,0
87,0,01-01-2016 00:00,Entertainment/public assembly,6412,2006,13.3,4,2.2,0
88,0,01-01-2016 00:00,Entertainment/public assembly,76527,2007,15.6,2,1.1,0
89,1,01-01-2016 00:00,Retail,161755,1996,15.6,0,-0.6,0
90,0,01-01-2016 00:00,Lodging/residential,59200,1999,17.2,0,-1.7,0
